year,race,round,driver,team,finish_position,quali_time_s,grid_position,driver_points,constructor_points,start_tyre,circuit_type,air_temp_c,rainfall_mm,track_temp_c,pole_gap_s,driver_form_last3,team_form_last3,driver_track_hist,driver_championship_rank,constructor_championship_rank,driver_avg_finish_last5,team_avg_finish_last5
2022,Bahrain,1,LEC,Ferrari,1,90.558,1,0.0,0.0,0,0,28.5,0.0,43.5,0.0,11.0,11.333,9.25,1.0,1.0,1.0,1.0
2022,Bahrain,1,SAI,Ferrari,2,90.687,3,0.0,0.0,0,0,28.5,0.0,43.5,0.129,11.0,11.333,9.25,1.0,1.0,3.0,1.0
2022,Bahrain,1,HAM,Mercedes,3,91.048,5,0.0,0.0,0,0,28.5,0.0,43.5,0.49,11.0,11.333,9.25,1.0,1.0,5.0,5.0
2022,Bahrain,1,RUS,Mercedes,4,91.252,9,0.0,0.0,0,0,28.5,0.0,43.5,0.694,11.0,11.333,9.25,1.0,1.0,9.0,3.0
2022,Bahrain,1,MAG,Haas F1 Team,5,91.461,7,0.0,0.0,0,0,28.5,0.0,43.5,0.903,11.0,11.333,9.25,1.0,1.0,7.0,7.0
2022,Bahrain,1,BOT,Alfa Romeo,6,91.56,6,0.0,0.0,0,0,28.5,0.0,43.5,1.002,11.0,11.333,9.25,1.0,1.0,6.0,6.0
2022,Bahrain,1,OCO,Alpine,7,91.782,11,0.0,0.0,0,0,28.5,0.0,43.5,1.224,11.0,11.333,9.25,1.0,1.0,11.0,11.0
2022,Bahrain,1,TSU,AlphaTauri,8,92.75,16,0.0,0.0,0,0,28.5,0.0,43.5,2.192,11.0,11.333,9.25,1.0,1.0,16.0,16.0
2022,Bahrain,1,ALO,Alpine,9,91.621,8,0.0,0.0,0,0,28.5,0.0,43.5,1.063,11.0,11.333,9.25,1.0,1.0,8.0,7.0
2022,Bahrain,1,ZHO,Alfa Romeo,10,92.493,15,0.0,0.0,0,0,28.5,0.0,43.5,1.935,11.0,11.333,9.25,1.0,1.0,15.0,6.0
2022,Bahrain,1,MSC,Haas F1 Team,11,91.998,12,0.0,0.0,0,0,28.5,0.0,43.5,1.44,11.0,11.333,9.25,1.0,1.0,12.0,5.0
2022,Bahrain,1,STR,Aston Martin,12,93.032,19,0.0,0.0,0,0,28.5,0.0,43.5,2.474,11.0,11.333,9.25,1.0,1.0,19.0,19.0
2022,Bahrain,1,ALB,Williams,13,92.664,14,0.0,0.0,0,0,28.5,0.0,43.5,2.106,11.0,11.333,9.25,1.0,1.0,14.0,14.0
2022,Bahrain,1,RIC,McLaren,14,92.945,18,0.0,0.0,1,0,28.5,0.0,43.5,2.387,11.0,11.333,9.25,1.0,1.0,18.0,18.0
2022,Bahrain,1,NOR,McLaren,15,92.008,13,0.0,0.0,1,0,28.5,0.0,43.5,1.45,11.0,11.333,9.25,1.0,1.0,13.0,14.0
2022,Bahrain,1,LAT,Williams,16,93.634,20,0.0,0.0,0,0,28.5,0.0,43.5,3.076,11.0,11.333,9.25,1.0,1.0,20.0,13.0
2022,Bahrain,1,HUL,Aston Martin,17,92.777,17,0.0,0.0,0,0,28.5,0.0,43.5,2.219,11.0,11.333,9.25,1.0,1.0,17.0,12.0
2022,Bahrain,1,PER,Red Bull Racing,18,90.921,4,0.0,0.0,0,0,28.5,0.0,43.5,0.363,11.0,11.333,9.25,1.0,1.0,4.0,4.0
2022,Bahrain,1,VER,Red Bull Racing,19,90.681,2,0.0,0.0,0,0,28.5,0.0,43.5,0.123,11.0,11.333,9.25,1.0,1.0,2.0,18.0
2022,Bahrain,1,GAS,AlphaTauri,20,91.635,10,0.0,0.0,0,0,28.5,0.0,43.5,1.077,11.0,11.333,9.25,1.0,1.0,10.0,8.0
2022,Saudi Arabia,2,VER,Red Bull Racing,1,88.461,4,0.0,0.0,1,1,31.3,0.0,46.3,0.261,19.0,18.5,9.25,10.0,9.0,19.0,18.5
2022,Saudi Arabia,2,LEC,Ferrari,2,88.225,2,26.0,44.0,1,1,31.3,0.0,46.3,0.025,1.0,1.5,9.25,1.0,1.0,1.0,1.5
2022,Saudi Arabia,2,SAI,Ferrari,3,88.402,3,18.0,44.0,1,1,31.3,0.0,46.3,0.202,2.0,1.5,9.25,2.0,1.0,2.0,1.6666666666666667
2022,Saudi Arabia,2,PER,Red Bull Racing,4,88.2,1,0.0,0.0,1,1,31.3,0.0,46.3,0.0,18.0,18.5,9.25,10.0,9.0,18.0,12.666666666666666
2022,Saudi Arabia,2,RUS,Mercedes,5,89.104,6,12.0,27.0,1,1,31.3,0.0,46.3,0.904,4.0,3.5,9.25,4.0,3.0,4.0,3.5
2022,Saudi Arabia,2,OCO,Alpine,6,89.068,5,6.0,0.0,1,1,31.3,0.0,46.3,0.868,7.0,8.0,9.25,7.0,9.0,7.0,8.0
2022,Saudi Arabia,2,NOR,McLaren,7,89.651,11,0.0,0.0,1,1,31.3,0.0,46.3,1.451,15.0,14.5,9.25,10.0,9.0,15.0,14.5
2022,Saudi Arabia,2,GAS,AlphaTauri,8,89.254,9,0.0,4.0,1,1,31.3,0.0,46.3,1.054,20.0,14.0,9.25,10.0,8.0,20.0,14.0
2022,Saudi Arabia,2,MAG,Haas F1 Team,9,89.546,10,10.0,10.0,2,1,31.3,0.0,46.3,1.346,5.0,8.0,9.25,5.0,5.0,5.0,8.0
2022,Saudi Arabia,2,HAM,Mercedes,10,90.343,15,15.0,27.0,2,1,31.3,0.0,46.3,2.143,3.0,3.5,9.25,3.0,3.0,3.0,4.0
2022,Saudi Arabia,2,ZHO,Alfa Romeo,11,89.819,12,1.0,9.0,1,1,31.3,0.0,46.3,1.619,10.0,8.0,9.25,9.0,6.0,10.0,8.0
2022,Saudi Arabia,2,HUL,Aston Martin,12,90.543,17,0.0,0.0,2,1,31.3,0.0,46.3,2.343,17.0,14.5,9.25,10.0,9.0,17.0,14.5
2022,Saudi Arabia,2,STR,Aston Martin,13,90.256,13,0.0,0.0,1,1,31.3,0.0,46.3,2.056,12.0,14.5,9.25,10.0,9.0,12.0,13.666666666666666
2022,Saudi Arabia,2,ALB,Williams,14,90.492,16,0.0,0.0,1,1,31.3,0.0,46.3,2.292,13.0,14.5,9.25,10.0,9.0,13.0,14.5
2022,Saudi Arabia,2,BOT,Alfa Romeo,15,89.183,8,8.0,9.0,1,1,31.3,0.0,46.3,0.983,6.0,8.0,9.25,6.0,6.0,6.0,9.0
2022,Saudi Arabia,2,ALO,Alpine,16,89.147,7,2.0,0.0,1,1,31.3,0.0,46.3,0.947,9.0,8.0,9.25,8.0,9.0,9.0,7.333333333333333
